caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,A,2020-08-17 14:10:09,2020-08-17 14:15:36,Role 5,6,1.0431617264690587,0
1,B,2020-08-17 14:40:33,2020-08-17 14:44:46,Role 5,6,1.0436817472698907,0
1,E,2020-08-17 14:44:46,2020-08-17 14:48:19,Role 5,6,1.0422256890275612,0
1,F,2020-08-17 14:48:19,2020-08-17 14:52:13,Role 5,6,1.03733749349974,0
1,C,2020-08-17 14:52:13,2020-08-17 14:59:06,Role 5,6,1.0390015600624025,0
1,D,2020-08-17 14:59:06,2020-08-17 15:08:19,Role 5,6,1.040665626625065,0
1,H,2020-08-17 15:08:19,2020-08-17 15:12:45,Role 5,6,1.0451378055122205,0
2,A,2020-08-17 15:12:45,2020-08-17 15:18:12,Role 5,7,1.0431617264690587,0
2,B,2020-08-17 15:46:47,2020-08-17 15:51:00,Role 5,7,1.0436817472698907,0
2,E,2020-08-17 15:51:00,2020-08-17 15:54:32,Role 5,7,1.0422256890275612,0
2,F,2020-08-17 15:54:32,2020-08-17 15:58:26,Role 5,7,1.03733749349974,0
2,C,2020-08-17 15:58:26,2020-08-17 16:05:20,Role 5,7,1.0390015600624025,0
2,D,2020-08-17 16:05:20,2020-08-17 16:14:38,Role 5,7,1.040665626625065,0
2,H,2020-08-17 16:14:38,2020-08-17 16:19:04,Role 5,7,1.0451378055122205,0
1,G,2020-08-17 16:34:24,2020-08-17 16:35:30,Role 5,7,1.0420176807072283,1
3,A,2020-08-17 16:55:29,2020-08-17 17:00:56,Role 5,8,1.0431617264690587,0
1,I,2020-08-17 17:02:52,2020-08-17 17:10:11,Role 5,7,1.0636505460218408,0
4,A,2020-08-17 17:18:18,2020-08-17 17:23:45,Role 5,9,1.0431617264690587,0
1,J,2020-08-17 17:23:45,2020-08-17 17:26:40,Role 5,8,1.3449817992719708,0
3,B,2020-08-17 17:27:19,2020-08-17 17:31:31,Role 5,8,1.0436817472698907,0
3,E,2020-08-17 17:31:31,2020-08-17 17:35:03,Role 5,9,1.0422256890275612,0
3,F,2020-08-17 17:35:03,2020-08-17 17:38:57,Role 5,9,1.03733749349974,0
1,K,2020-08-17 17:38:57,2020-08-17 17:41:54,Role 5,9,1.0498179927197089,0
3,C,2020-08-17 17:41:54,2020-08-17 17:48:49,Role 5,9,1.0390015600624025,1
2,G,2020-08-17 17:48:49,2020-08-17 17:49:54,Role 5,7,1.0420176807072283,0
3,D,2020-08-17 17:49:54,2020-08-17 17:59:21,Role 5,9,1.040665626625065,1
4,B,2020-08-17 17:59:21,2020-08-17 18:03:33,Role 5,9,1.0436817472698907,1
1,M,2020-08-17 18:03:33,2020-08-17 18:06:31,Role 5,9,1.015600624024961,2
3,H,2020-08-17 18:06:31,2020-08-17 18:10:57,Role 5,9,1.0451378055122205,2
4,E,2020-08-17 18:10:57,2020-08-17 18:14:29,Role 5,9,1.0422256890275612,2
4,F,2020-08-17 18:14:29,2020-08-17 18:18:26,Role 5,9,1.03733749349974,0
5,A,2020-08-17 18:18:26,2020-08-17 18:23:57,Role 5,10,1.0431617264690587,0
2,I,2020-08-17 18:23:57,2020-08-17 18:31:34,Role 5,9,1.0636505460218408,1
4,C,2020-08-17 18:31:34,2020-08-17 18:38:56,Role 5,10,1.0390015600624025,2
4,D,2020-08-17 18:38:56,2020-08-17 18:49:10,Role 5,10,1.040665626625065,0
2,J,2020-08-17 18:49:10,2020-08-17 18:51:53,Role 5,10,1.3449817992719708,1
4,H,2020-08-17 18:51:53,2020-08-17 18:56:26,Role 5,10,1.0451378055122205,1
2,P,2020-08-17 19:02:51,2020-08-17 19:05:39,Role 5,10,1.0064482579303171,1
5,B,2020-08-17 19:06:23,2020-08-17 19:10:35,Role 5,10,1.0436817472698907,2
5,E,2020-08-17 19:10:35,2020-08-17 19:14:07,Role 5,10,1.0422256890275612,0
5,F,2020-08-17 19:14:07,2020-08-17 19:18:05,Role 5,10,1.03733749349974,0
5,C,2020-08-17 19:18:05,2020-08-17 19:25:18,Role 5,10,1.0390015600624025,0
2,Q,2020-08-17 19:11:03,2020-08-17 19:25:51,Role 2,10,1.0520020800832033,0
2,R,2020-08-17 19:28:30,2020-08-17 19:33:54,Role 2,10,1.311804472178887,0
5,D,2020-08-17 19:25:18,2020-08-17 19:35:03,Role 5,10,1.040665626625065,0
3,G,2020-08-17 19:35:03,2020-08-17 19:35:59,Role 5,9,1.0420176807072283,1
2,S,2020-08-17 19:35:17,2020-08-17 19:39:09,Role 2,10,1.0640665626625065,0
5,H,2020-08-17 19:35:59,2020-08-17 19:40:34,Role 5,10,1.0451378055122205,1
2,T,2020-08-17 19:39:59,2020-08-17 19:42:04,Role 2,11,1.0728029121164846,0
1,U,2020-08-17 18:08:02,2020-08-17 19:44:07,Role 4,9,1.022464898595944,0
6,A,2020-08-17 19:40:34,2020-08-17 19:45:56,Role 5,11,1.0431617264690587,0
2,I,2020-08-17 19:45:56,2020-08-17 19:48:06,Role 5,11,1.0636505460218408,0
1,V,2020-08-17 19:44:07,2020-08-17 19:48:17,Role 4,11,1.0934997399895996,0
2,J,2020-08-17 19:51:18,2020-08-17 19:52:56,Role 5,11,1.3449817992719708,0
2,K,2020-08-17 19:57:04,2020-08-17 20:00:50,Role 5,11,1.0498179927197089,0
3,I,2020-08-17 20:05:42,2020-08-17 20:13:26,Role 5,10,1.0636505460218408,1
2,N,2020-08-17 20:13:26,2020-08-17 20:19:50,Role 5,11,1.0142485699427977,0
4,G,2020-08-17 20:23:48,2020-08-17 20:25:01,Role 5,10,1.0420176807072283,0
3,J,2020-08-17 20:25:01,2020-08-17 20:27:59,Role 5,11,1.3449817992719708,1
6,B,2020-08-17 20:27:59,2020-08-17 20:32:10,Role 5,11,1.0436817472698907,1
6,E,2020-08-17 20:32:10,2020-08-17 20:35:42,Role 5,11,1.0422256890275612,0
6,F,2020-08-17 20:35:42,2020-08-17 20:39:35,Role 5,11,1.03733749349974,0
3,P,2020-08-17 20:39:35,2020-08-17 20:42:43,Role 5,11,1.0064482579303171,1
6,C,2020-08-17 20:42:43,2020-08-17 20:49:29,Role 5,11,1.0390015600624025,1
6,D,2020-08-17 20:49:29,2020-08-17 20:58:33,Role 5,11,1.040665626625065,0
3,Q,2020-08-17 20:48:38,2020-08-17 21:00:36,Role 2,11,1.0520020800832033,0
7,A,2020-08-17 20:58:33,2020-08-17 21:03:54,Role 5,12,1.0431617264690587,0
1,X,2020-08-17 19:48:17,2020-08-17 21:08:11,Role 4,11,1.0172646905876235,0
6,H,2020-08-17 21:03:54,2020-08-17 21:08:16,Role 5,12,1.0451378055122205,1
3,R,2020-08-17 21:03:44,2020-08-17 21:08:48,Role 2,12,1.311804472178887,0
1,R,2020-08-17 21:08:30,2020-08-17 21:13:55,Role 2,12,2.311804472178887,0
3,S,2020-08-17 21:10:45,2020-08-17 21:14:13,Role 2,12,1.0640665626625065,0
4,I,2020-08-17 21:08:16,2020-08-17 21:16:03,Role 5,11,1.0636505460218408,1
3,T,2020-08-17 21:15:13,2020-08-17 21:17:21,Role 2,12,1.0728029121164846,0
5,G,2020-08-17 21:16:03,2020-08-17 21:17:35,Role 5,11,1.0420176807072283,1
1,S,2020-08-17 21:14:16,2020-08-17 21:18:34,Role 2,12,1.0640665626625065,0
1,T,2020-08-17 21:18:40,2020-08-17 21:20:49,Role 2,11,1.0728029121164846,0
1,I,2020-08-17 21:21:41,2020-08-17 21:24:20,Role 5,11,1.0636505460218408,0
1,J,2020-08-17 21:25:40,2020-08-17 21:27:18,Role 5,11,1.3449817992719708,0
2,Y,2020-08-17 20:20:25,2020-08-17 21:33:30,Role 3,11,1.0230889235569423,0
1,P,2020-08-17 21:28:46,2020-08-17 21:33:48,Role 5,11,1.0064482579303171,0
4,J,2020-08-17 21:33:48,2020-08-17 21:37:12,Role 5,12,1.3449817992719708,1
2,Z,2020-08-17 21:33:30,2020-08-17 21:40:55,Role 3,11,1.0908996359854395,0
1,Q,2020-08-17 21:34:17,2020-08-17 21:43:21,Role 2,11,1.0520020800832033,0
1,R,2020-08-17 21:43:56,2020-08-17 21:53:42,Role 2,11,1.311804472178887,0
4,P,2020-08-17 21:51:12,2020-08-17 21:54:43,Role 5,11,1.0064482579303171,0
1,S,2020-08-17 21:54:27,2020-08-17 22:01:38,Role 2,11,1.0640665626625065,0
