caseid,task,user,time:timestamp,start:timestamp,role,ac_index,rl_index
821,A,ABC-000001,2020-08-17 14:10:38.896,2020-08-17 14:00:26.766,Role 5,1.0,5.0
821,B,ABC-000001,2020-08-17 14:13:34.160,2020-08-17 14:10:38.896,Role 5,3.0,5.0
821,E,ABC-000001,2020-08-17 14:17:59.261,2020-08-17 14:13:34.160,Role 5,9.0,5.0
821,F,ABC-000001,2020-08-17 14:22:17.158,2020-08-17 14:17:59.261,Role 5,10.0,5.0
821,C,ABC-000001,2020-08-17 14:37:30.949,2020-08-17 14:22:17.158,Role 5,5.0,5.0
821,D,ABC-000001,2020-08-17 14:40:17.981,2020-08-17 14:37:30.949,Role 5,7.0,5.0
821,H,ABC-000001,2020-08-17 14:44:08.905,2020-08-17 14:40:17.981,Role 5,12.0,5.0
821,G,ABC-000001,2020-08-17 14:44:54.588,2020-08-17 14:44:08.905,Role 5,11.0,5.0
821,I,ABC-000001,2020-08-17 16:20:46.857,2020-08-17 16:19:46.857,Role 5,13.0,5.0
821,J,ABC-000001,2020-08-17 16:52:34.050,2020-08-17 16:37:05.979,Role 5,14.0,5.0
821,K,ABC-000001,2020-08-17 18:30:55.731,2020-08-17 18:30:53.731,Role 5,15.0,5.0
821,L,ABC-000001,2020-08-17 18:50:09.027,2020-08-17 18:47:29.079,Role 5,16.0,5.0
821,N,ABC-000001,2020-08-17 18:50:42.284,2020-08-17 18:50:09.027,Role 5,18.0,5.0
821,Y,JKL-000003,2020-08-17 18:53:09.530,2020-08-17 18:50:42.284,Role 4,28.0,4.0
821,Z,JKL-000002,2020-08-17 19:51:03.893,2020-08-17 18:53:09.530,Role 4,29.0,4.0
821,AA,JKL-000001,2020-08-17 20:12:30.872,2020-08-17 19:51:03.893,Role 4,2.0,4.0
821,R,DEF-000003,2020-08-17 21:23:27.504,2020-08-17 20:12:30.872,Role 2,22.0,2.0
821,S,DEF-000001,2020-08-17 21:36:37.028,2020-08-17 21:23:27.504,Role 2,23.0,2.0
821,T,DEF-000002,2020-08-17 22:05:07.665,2020-08-17 21:36:37.028,Role 2,24.0,2.0
821,I,ABC-000001,2020-08-17 23:17:03.700,2020-08-17 23:16:03.700,Role 5,13.0,5.0
821,J,ABC-000001,2020-08-17 23:47:55.260,2020-08-17 23:38:20.524,Role 5,14.0,5.0
821,K,ABC-000001,2020-08-18 00:02:37.815,2020-08-18 00:02:35.815,Role 5,15.0,5.0
821,M,ABC-000001,2020-08-18 00:51:37.992,2020-08-18 00:30:25.198,Role 5,17.0,5.0
821,U,GHI-000003,2020-08-18 00:55:22.262,2020-08-18 00:51:37.992,Role 1,25.0,1.0
821,V,GHI-000002,2020-08-18 01:23:13.500,2020-08-18 00:55:22.262,Role 1,26.0,1.0
821,X,GHI-000001,2020-08-18 01:29:58.126,2020-08-18 01:23:13.500,Role 1,27.0,1.0
821,R,DEF-000002,2020-08-18 02:56:56.507,2020-08-18 01:30:44.825,Role 2,22.0,2.0
821,S,DEF-000002,2020-08-18 03:03:34.355,2020-08-18 02:56:56.507,Role 2,23.0,2.0
821,T,DEF-000002,2020-08-18 03:16:15.541,2020-08-18 03:03:34.355,Role 2,24.0,2.0
822,A,ABC-000001,2020-08-17 14:46:12.072,2020-08-17 14:44:54.588,Role 5,1.0,5.0
822,B,ABC-000001,2020-08-17 14:54:58.717,2020-08-17 14:46:12.072,Role 5,3.0,5.0
822,E,ABC-000001,2020-08-17 14:58:42.579,2020-08-17 14:54:58.717,Role 5,9.0,5.0
822,F,ABC-000001,2020-08-17 15:04:06.263,2020-08-17 14:58:42.579,Role 5,10.0,5.0
822,C,ABC-000001,2020-08-17 15:31:20.964,2020-08-17 15:04:06.263,Role 5,5.0,5.0
822,D,ABC-000001,2020-08-17 15:44:28.241,2020-08-17 15:31:20.964,Role 5,7.0,5.0
822,H,ABC-000001,2020-08-17 16:04:24.410,2020-08-17 15:44:28.241,Role 5,12.0,5.0
822,G,ABC-000001,2020-08-17 16:07:20.060,2020-08-17 16:04:24.410,Role 5,11.0,5.0
822,I,ABC-000001,2020-08-17 16:21:46.857,2020-08-17 16:20:46.857,Role 5,13.0,5.0
822,J,ABC-000001,2020-08-17 17:07:34.974,2020-08-17 16:52:34.050,Role 5,14.0,5.0
822,K,ABC-000001,2020-08-17 18:31:15.560,2020-08-17 18:31:13.560,Role 5,15.0,5.0
822,O,ABC-000001,2020-08-17 19:50:10.454,2020-08-17 19:00:04.883,Role 5,19.0,5.0
822,BB,MNO-000003,2020-08-17 20:29:12.243,2020-08-17 19:50:10.454,Role 3,4.0,3.0
822,CC,MNO-000002,2020-08-18 00:58:56.846,2020-08-17 20:29:12.243,Role 3,6.0,3.0
822,DD,MNO-000002,2020-08-18 01:26:32.013,2020-08-18 00:58:56.846,Role 3,8.0,3.0
822,R,DEF-000002,2020-08-18 01:30:44.825,2020-08-18 01:26:32.013,Role 2,22.0,2.0
822,S,DEF-000003,2020-08-18 01:45:36.610,2020-08-18 01:34:21.619,Role 2,23.0,2.0
822,T,DEF-000003,2020-08-18 01:55:30.645,2020-08-18 01:45:36.610,Role 2,24.0,2.0
823,A,ABC-000001,2020-08-17 16:14:57.161,2020-08-17 16:07:20.060,Role 5,1.0,5.0
823,B,ABC-000001,2020-08-17 16:35:10.443,2020-08-17 16:21:46.857,Role 5,3.0,5.0
823,E,ABC-000001,2020-08-17 17:09:39.921,2020-08-17 17:07:34.974,Role 5,9.0,5.0
823,F,ABC-000001,2020-08-17 17:11:35.081,2020-08-17 17:09:39.921,Role 5,10.0,5.0
823,C,ABC-000001,2020-08-17 17:18:51.216,2020-08-17 17:11:35.081,Role 5,5.0,5.0
823,D,ABC-000001,2020-08-17 17:29:23.946,2020-08-17 17:18:51.216,Role 5,7.0,5.0
823,H,ABC-000001,2020-08-17 17:47:54.713,2020-08-17 17:29:23.946,Role 5,12.0,5.0
823,G,ABC-000001,2020-08-17 17:53:22.092,2020-08-17 17:47:54.713,Role 5,11.0,5.0
823,I,ABC-000001,2020-08-17 18:42:47.496,2020-08-17 18:41:47.496,Role 5,13.0,5.0
823,J,ABC-000001,2020-08-17 20:06:40.090,2020-08-17 20:05:04.601,Role 5,14.0,5.0
823,K,ABC-000001,2020-08-17 22:58:43.456,2020-08-17 22:58:41.456,Role 5,15.0,5.0
823,L,ABC-000001,2020-08-17 23:19:34.296,2020-08-17 23:18:03.700,Role 5,16.0,5.0
