caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,A,2020-08-17 15:49:46,2020-08-17 15:56:17,Role 5,5,2.008450704225352,0
1,B,2020-08-17 16:22:12,2020-08-17 16:25:07,Role 5,5,2.028169014084507,0
1,E,2020-08-17 16:25:27,2020-08-17 16:27:41,Role 5,5,2.0140845070422535,0
1,F,2020-08-17 16:27:56,2020-08-17 16:30:47,Role 5,5,2.0253521126760563,0
1,C,2020-08-17 16:31:04,2020-08-17 16:37:45,Role 5,5,2.0140845070422535,0
1,D,2020-08-17 16:38:02,2020-08-17 16:47:05,Role 5,5,2.0225352112676056,0
1,H,2020-08-17 16:47:29,2020-08-17 16:50:51,Role 5,5,2.028169014084507,0
1,G,2020-08-17 17:54:04,2020-08-17 17:54:35,Role 5,5,2.0338028169014084,0
2,A,2020-08-17 17:54:35,2020-08-17 18:01:05,Role 5,6,2.008450704225352,1
3,A,2020-08-17 18:01:05,2020-08-17 18:07:35,Role 5,7,2.008450704225352,2
1,I,2020-08-17 18:19:47,2020-08-17 18:28:29,Role 5,7,2.0405405405405403,2
2,B,2020-08-17 18:28:29,2020-08-17 18:31:18,Role 5,7,2.028169014084507,2
3,B,2020-08-17 18:34:25,2020-08-17 18:37:14,Role 5,7,2.028169014084507,2
4,A,2020-08-17 18:37:14,2020-08-17 18:43:44,Role 5,8,2.008450704225352,3
1,J,2020-08-17 18:43:44,2020-08-17 18:43:44,Role 5,8,2.0367504835589942,3
2,E,2020-08-17 18:43:44,2020-08-17 18:45:55,Role 5,8,2.0140845070422535,3
3,E,2020-08-17 18:45:55,2020-08-17 18:48:06,Role 5,8,2.0140845070422535,3
4,B,2020-08-17 19:11:47,2020-08-17 19:14:34,Role 5,8,2.028169014084507,3
1,K,2020-08-17 19:14:34,2020-08-17 19:24:02,Role 5,8,2.025974025974026,3
2,F,2020-08-17 19:24:02,2020-08-17 19:26:52,Role 5,8,2.0253521126760563,3
3,F,2020-08-17 19:26:52,2020-08-17 19:29:42,Role 5,8,2.0253521126760563,3
4,E,2020-08-17 19:29:42,2020-08-17 19:31:52,Role 5,8,2.0140845070422535,3
5,A,2020-08-17 19:31:52,2020-08-17 19:38:21,Role 5,9,2.008450704225352,4
1,N,2020-08-17 19:38:21,2020-08-17 19:45:46,Role 5,9,2.052631578947368,4
2,C,2020-08-17 19:45:46,2020-08-17 19:52:40,Role 5,9,2.0140845070422535,4
3,C,2020-08-17 19:52:40,2020-08-17 19:59:34,Role 5,9,2.0140845070422535,4
4,F,2020-08-17 19:59:34,2020-08-17 20:02:27,Role 5,9,2.0253521126760563,4
5,B,2020-08-17 20:07:32,2020-08-17 20:10:16,Role 5,9,2.028169014084507,4
2,D,2020-08-17 20:10:16,2020-08-17 20:19:53,Role 5,9,2.0225352112676056,3
3,D,2020-08-17 20:19:53,2020-08-17 20:29:30,Role 5,9,2.0225352112676056,3
4,C,2020-08-17 20:29:30,2020-08-17 20:36:37,Role 5,9,2.0140845070422535,3
5,E,2020-08-17 20:36:37,2020-08-17 20:38:47,Role 5,9,2.0140845070422535,3
6,A,2020-08-17 20:38:47,2020-08-17 20:45:08,Role 5,10,2.008450704225352,4
2,H,2020-08-17 20:45:08,2020-08-17 20:48:38,Role 5,10,2.028169014084507,4
3,H,2020-08-17 20:48:38,2020-08-17 20:52:08,Role 5,10,2.028169014084507,4
4,D,2020-08-17 20:52:08,2020-08-17 21:01:41,Role 5,10,2.0225352112676056,4
5,F,2020-08-17 21:01:41,2020-08-17 21:04:36,Role 5,10,2.0253521126760563,4
6,B,2020-08-17 21:23:13,2020-08-17 21:25:52,Role 5,10,2.028169014084507,4
1,Y,2020-08-17 19:46:35,2020-08-17 21:45:13,Role 3,9,2.017543859649123,0
1,Z,2020-08-17 21:45:51,2020-08-17 21:50:35,Role 3,10,2.114035087719298,0
2,G,2020-08-17 22:06:51,2020-08-17 22:07:13,Role 5,10,2.0338028169014084,4
3,G,2020-08-17 22:10:34,2020-08-17 22:10:56,Role 5,10,2.0338028169014084,4
4,H,2020-08-17 22:10:56,2020-08-17 22:14:26,Role 5,10,2.028169014084507,4
5,C,2020-08-17 22:14:26,2020-08-17 22:21:35,Role 5,10,2.0140845070422535,4
6,E,2020-08-17 22:21:35,2020-08-17 22:23:44,Role 5,10,2.0140845070422535,4
2,I,2020-08-17 22:26:16,2020-08-17 22:35:55,Role 5,10,2.0405405405405403,4
3,I,2020-08-17 22:35:55,2020-08-17 22:45:35,Role 5,10,2.0405405405405403,4
1,AA,2020-08-17 21:51:31,2020-08-17 23:29:10,Role 3,10,2.0701754385964914,0
4,G,2020-08-17 23:34:52,2020-08-17 23:35:08,Role 5,10,2.0338028169014084,4
1,R,2020-08-17 23:29:41,2020-08-17 23:35:13,Role 2,11,2.1288659793814433,0
1,S,2020-08-17 23:35:17,2020-08-17 23:39:46,Role 2,11,2.0618556701030926,0
1,T,2020-08-17 23:39:46,2020-08-17 23:40:49,Role 2,11,2.09020618556701,0
7,A,2020-08-17 23:35:08,2020-08-17 23:41:38,Role 5,11,2.008450704225352,5
5,D,2020-08-17 23:41:38,2020-08-17 23:51:11,Role 5,11,2.0225352112676056,5
6,F,2020-08-17 23:51:11,2020-08-17 23:54:05,Role 5,11,2.0253521126760563,5
2,J,2020-08-17 23:54:05,2020-08-17 23:54:05,Role 5,11,2.0367504835589942,5
3,J,2020-08-17 23:54:05,2020-08-17 23:54:05,Role 5,11,2.0367504835589942,5
4,I,2020-08-17 23:54:05,2020-08-18 00:02:59,Role 5,11,2.0405405405405403,5
7,B,2020-08-18 00:14:37,2020-08-18 00:17:29,Role 5,10,2.028169014084507,5
5,H,2020-08-18 00:17:29,2020-08-18 00:21:10,Role 5,10,2.028169014084507,5
6,C,2020-08-18 00:21:10,2020-08-18 00:29:01,Role 5,10,2.0140845070422535,5
2,K,2020-08-18 00:29:01,2020-08-18 00:42:31,Role 5,10,2.025974025974026,5
3,P,2020-08-18 00:42:31,2020-08-18 00:56:41,Role 5,10,2.017857142857143,5
4,J,2020-08-18 00:56:41,2020-08-18 00:56:41,Role 5,10,2.0367504835589942,5
7,E,2020-08-18 00:56:41,2020-08-18 00:58:58,Role 5,10,2.0140845070422535,5
5,G,2020-08-18 01:31:22,2020-08-18 01:31:22,Role 5,10,2.0338028169014084,5
6,D,2020-08-18 01:31:22,2020-08-18 01:42:01,Role 5,10,2.0225352112676056,5
2,N,2020-08-18 01:42:01,2020-08-18 01:54:36,Role 5,10,2.052631578947368,5
8,A,2020-08-18 01:54:36,2020-08-18 02:01:04,Role 5,11,2.008450704225352,6
4,K,2020-08-18 02:01:04,2020-08-18 02:13:55,Role 5,11,2.025974025974026,5
7,F,2020-08-18 02:13:55,2020-08-18 02:16:55,Role 5,11,2.0253521126760563,5
5,I,2020-08-18 02:16:55,2020-08-18 02:27:29,Role 5,11,2.0405405405405403,5
3,Q,2020-08-18 00:57:21,2020-08-18 02:30:08,Role 2,11,2.017857142857143,0
6,H,2020-08-18 02:27:29,2020-08-18 02:30:58,Role 5,11,2.028169014084507,5
8,B,2020-08-18 02:30:58,2020-08-18 02:34:00,Role 5,11,2.028169014084507,4
4,M,2020-08-18 02:34:00,2020-08-18 02:47:13,Role 5,11,2.0265486725663715,4
7,C,2020-08-18 02:47:13,2020-08-18 02:54:29,Role 5,11,2.0140845070422535,4
5,J,2020-08-18 02:54:29,2020-08-18 02:54:29,Role 5,11,2.0367504835589942,4
3,R,2020-08-18 02:30:55,2020-08-18 02:59:20,Role 2,11,2.1288659793814433,0
3,S,2020-08-18 03:00:00,2020-08-18 03:02:25,Role 2,11,2.0618556701030926,0
3,T,2020-08-18 03:02:53,2020-08-18 03:04:01,Role 2,11,2.09020618556701,0
6,G,2020-08-18 03:43:51,2020-08-18 03:43:53,Role 5,11,2.0338028169014084,4
8,E,2020-08-18 03:43:53,2020-08-18 03:46:14,Role 5,11,2.0140845070422535,4
2,Y,2020-08-18 01:55:23,2020-08-18 03:54:45,Role 3,11,2.017543859649123,0
7,D,2020-08-18 03:46:14,2020-08-18 03:55:32,Role 5,11,2.0225352112676056,3
2,Z,2020-08-18 03:55:31,2020-08-18 03:59:41,Role 3,11,2.114035087719298,0
5,P,2020-08-18 03:55:32,2020-08-18 04:07:06,Role 5,11,2.017857142857143,3
3,I,2020-08-18 04:07:06,2020-08-18 04:09:45,Role 5,11,2.0405405405405403,4
6,I,2020-08-18 04:09:45,2020-08-18 04:20:12,Role 5,11,2.0405405405405403,4
8,F,2020-08-18 04:20:12,2020-08-18 04:23:12,Role 5,11,2.0253521126760563,4
7,H,2020-08-18 04:23:12,2020-08-18 04:26:18,Role 5,11,2.028169014084507,4
3,J,2020-08-18 04:26:18,2020-08-18 04:27:41,Role 5,11,2.0367504835589942,3
6,J,2020-08-18 04:29:12,2020-08-18 04:29:12,Role 5,11,2.0367504835589942,3
8,C,2020-08-18 04:29:12,2020-08-18 04:36:00,Role 5,11,2.0140845070422535,3
4,U,2020-08-18 02:47:50,2020-08-18 04:45:05,Role 4,11,2.0530973451327434,0
4,V,2020-08-18 04:45:25,2020-08-18 04:49:20,Role 4,11,2.079646017699115,0
2,AA,2020-08-18 04:00:53,2020-08-18 05:19:51,Role 3,11,2.0701754385964914,0
2,R,2020-08-18 05:20:34,2020-08-18 05:26:15,Role 2,11,2.1288659793814433,0
2,S,2020-08-18 05:26:15,2020-08-18 05:30:46,Role 2,11,2.0618556701030926,0
2,T,2020-08-18 05:30:46,2020-08-18 05:32:28,Role 2,12,2.09020618556701,0
5,Q,2020-08-18 04:07:48,2020-08-18 05:41:38,Role 2,11,2.017857142857143,0
