caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,A,2020-08-17 14:42:03,2020-08-17 14:48:36,Role 5,5,2.008450704225352,0
1,B,2020-08-17 15:14:31,2020-08-17 15:17:28,Role 5,5,2.028169014084507,0
1,E,2020-08-17 15:17:48,2020-08-17 15:20:02,Role 5,5,2.0140845070422535,0
1,F,2020-08-17 15:20:17,2020-08-17 15:23:08,Role 5,5,2.0253521126760563,0
1,C,2020-08-17 15:23:25,2020-08-17 15:30:06,Role 5,5,2.0140845070422535,0
1,D,2020-08-17 15:30:23,2020-08-17 15:39:26,Role 5,5,2.0225352112676056,0
1,H,2020-08-17 15:39:50,2020-08-17 15:43:12,Role 5,5,2.028169014084507,0
1,G,2020-08-17 16:46:25,2020-08-17 16:46:58,Role 5,5,2.0338028169014084,0
2,A,2020-08-17 16:46:58,2020-08-17 16:53:29,Role 5,6,2.008450704225352,1
3,A,2020-08-17 16:53:29,2020-08-17 17:00:00,Role 5,7,2.008450704225352,2
1,I,2020-08-17 17:12:10,2020-08-17 17:20:49,Role 5,7,2.0405405405405403,2
2,B,2020-08-17 17:20:49,2020-08-17 17:23:40,Role 5,7,2.028169014084507,2
3,B,2020-08-17 17:26:50,2020-08-17 17:29:41,Role 5,7,2.028169014084507,2
1,J,2020-08-17 17:31:57,2020-08-17 17:31:57,Role 5,7,2.0367504835589942,2
2,E,2020-08-17 17:31:57,2020-08-17 17:34:09,Role 5,7,2.0140845070422535,2
3,E,2020-08-17 17:34:09,2020-08-17 17:36:21,Role 5,7,2.0140845070422535,2
1,K,2020-08-17 17:39:12,2020-08-17 17:48:38,Role 5,7,2.025974025974026,2
2,F,2020-08-17 17:48:38,2020-08-17 17:51:29,Role 5,7,2.0253521126760563,2
3,F,2020-08-17 17:51:29,2020-08-17 17:54:20,Role 5,7,2.0253521126760563,2
4,A,2020-08-17 17:54:20,2020-08-17 18:00:51,Role 5,8,2.008450704225352,3
1,M,2020-08-17 18:00:51,2020-08-17 18:07:35,Role 5,8,2.0265486725663715,3
2,C,2020-08-17 18:07:35,2020-08-17 18:14:09,Role 5,8,2.0140845070422535,3
3,C,2020-08-17 18:14:09,2020-08-17 18:20:43,Role 5,8,2.0140845070422535,3
4,B,2020-08-17 18:28:54,2020-08-17 18:31:39,Role 5,8,2.028169014084507,3
2,D,2020-08-17 18:31:39,2020-08-17 18:40:32,Role 5,8,2.0225352112676056,2
5,A,2020-08-17 18:40:32,2020-08-17 18:46:48,Role 5,9,2.008450704225352,3
3,D,2020-08-17 18:46:48,2020-08-17 18:55:41,Role 5,9,2.0225352112676056,3
4,E,2020-08-17 18:55:41,2020-08-17 18:57:50,Role 5,9,2.0140845070422535,3
2,H,2020-08-17 18:57:50,2020-08-17 19:01:08,Role 5,9,2.028169014084507,3
5,B,2020-08-17 19:17:39,2020-08-17 19:20:19,Role 5,9,2.028169014084507,3
3,H,2020-08-17 19:20:19,2020-08-17 19:23:37,Role 5,9,2.028169014084507,3
4,F,2020-08-17 19:23:37,2020-08-17 19:26:25,Role 5,9,2.0253521126760563,3
1,U,2020-08-17 18:08:09,2020-08-17 19:53:06,Role 4,8,2.0530973451327434,0
1,V,2020-08-17 19:53:25,2020-08-17 19:57:01,Role 4,10,2.079646017699115,0
2,G,2020-08-17 20:18:42,2020-08-17 20:19:09,Role 5,9,2.0338028169014084,3
5,E,2020-08-17 20:19:09,2020-08-17 20:21:16,Role 5,9,2.0140845070422535,3
3,G,2020-08-17 20:41:22,2020-08-17 20:41:49,Role 5,9,2.0338028169014084,3
4,C,2020-08-17 20:41:49,2020-08-17 20:48:24,Role 5,9,2.0140845070422535,3
6,A,2020-08-17 20:48:24,2020-08-17 20:54:39,Role 5,10,2.008450704225352,4
7,A,2020-08-17 20:54:39,2020-08-17 21:00:54,Role 5,11,2.008450704225352,5
